masterpiece,5,Quality tag,,
best_quality,5,Quality tag,,
great_quality,5,Quality tag,,
good_quality,5,Quality tag,,
normal_quality,5,Quality tag,,
low_quality,5,Quality tag,,
worst_quality,5,Quality tag,,
safe,5,Rating tag,,
sensitive,5,Rating tag,,
nsfw,5,Rating tag,,
"explicit, nsfw",5,Rating tag,,
newest,5,Year tag,,
recent,5,Year tag,,
mid,5,Year tag,,
early,5,Year tag,,
oldest,5,Year tag,,
very_aesthetic,5,Aesthetic Tag,,
aesthetic,5,Aesthetic Tag,,
displeasing,5,Aesthetic Tag,,
very_displeasing,5,Aesthetic Tag,,
